Item Id,Item URI,Title,Subject,Description,Dublin Core:Creator,Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
23561,https://georgeeliotarchive.org/items/show/23561,"Taft, Jacob called ""Feyther"" Taft",Character Name,"The Hayslope patriarch ""in his brown worsted nightcap, who was bent nearly double, but seemed tough enough to keep on his legs a long while.""",,Adam Bede,,,,,"Taft, Jacob called ""Feyther"" Taft",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23560,https://georgeeliotarchive.org/items/show/23560,"Taft, Billy",Character Name,The idiot.,,Adam Bede,,,,,"Taft, Billy",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23538,https://georgeeliotarchive.org/items/show/23538,"Storey, Jacob",Character Name,A pupil in Bartle Massey's night school who turns all his z's the wrong way.,,Adam Bede,,,,,"Storey, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23531,https://georgeeliotarchive.org/items/show/23531,"Stone, Mrs. Sarah",Character Name,"A widow; the shopkeeper in Stoniton, in whose house Hetty Sorrel's baby is born, and who gives evidence against Hetty at her trial.",,Adam Bede,,,,,"Stone, Mrs. Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23497,https://georgeeliotarchive.org/items/show/23497,"Sorrel, Hester, called Hetty",Character Name,"Martin Poyser's niece, the village beauty of Hayslope; a shallow, selfish girl of seventeen years, whose dream of becoming the young squire's lady ends in tragedy for herself and others. ""There is one order of beauty which seems made to turn the heads not only of men, but of all intelligent mammals, even of women. It is a beauty like that of kittens, or very small downy ducks making gentle rippling noises with their soft bills, or babies just beginning to toddle and to engage in conscious mischief--a beauty with which you can never be angry, but that you feel ready to crush for inability to comprehend the state of mind into which it throws you. Hetty Sorrel's was that sort of beauty."" ""It is of little use for me to tell you that Hetty's cheek was like a rose--petal, that dimples played about her pouting lips, that her large dark eyes hid a soft roguishness under their long lashes, and that her curly hair, though all pushed back under her round cap while she was at work, stole back in dark delicate rings on her forehead, and about her white shelllike ears; it is of little use for me to say how lovely was the contour of her pink-and-white neckerchief, tucked into her low plum-coloured stuff boddice, or how the linen butter-making apron, with its bib, seemed a thing to be imitated in silk by duchesses, since it fell in such charming lines, or how her brown stockings and thick-soled buckled shoes lost all that clumsiness which they must certainly have had when empty of her foot and ankle; of little use, unless you have seen a woman who affected you as Hetty affected her beholders, for otherwise, though you might conjure up the image of a lovely woman, she would not in the least resemble that distracting kittenlike maiden ... Hetty's was a spring-tide beauty; it was the beauty of young frisking things, round-limbed, gambolling, circumventing you by a false air of innocence."" Although she has been brought up by Mr. Poyser as if she had been his own daughter, she is incapable of feeling any gratitude and affection for him or his family. Her beauty attracts village suitors, including honest Adam Bede, whom her uncle favours, but she believes that her beauty destines her for a higher station. When she attracts the attention of the young squire, Arthur Donnithome, she sees a rosy future for herself, ignorantly thinking that his passion, to which she has secretly yielded, must end in marriage. When Arthur Donnithome breaks off his affair with her she is humiliated and sick at heart, but, later, seeing nothing better in the future, promises to marry Adam who is in ignorance of what her real relations with Arthur have been. As the time for their marriage approaches, Hetty realizes that the truth must soon come to light, and, under pretence of visiting Dinah Morris at Snowfield, journeys to Windsor to find Arthur Donnithome and then not finding him, journeys back in despair, lacking the courage to kill herself, but determined to keep her disgrace from her family. On her way back her baby is born. She leaves it in a wood to die, and is arrested for child-murder, tried and sentenced to death. Through her trial and sentence she maintains a hard, obstinate silence, which breaks down only when Dinah Morris goes to her in prison and spends the last night in her cell, pleading with her to confess. Dinah accompanies her to the place of execution, and at the last minute Hetty's sentence is commuted to transportation, from which she never returns. While Hetty herself is not a portrait, her tragedy, and, indeed, the germ of the plot of Adam Bede, were taken from a dramatic experience in the life of George Eliot's aunt, Elizabeth Evans (""Dinah Morris""). An ignorant girl, Mary Voce, had been tried at the Nottingham Assizes for child-murder, and had been sentenced to death. She had refused obstinately to confess her crime, and Mrs. Evans visited her in her cell, prayed over her all night, induced her to confess, and then rode with her to the place of execution and stayed with her until she was hanged. (See Cross, George Eliot's Life, vol. 2, pp. 65-6.)",,Adam Bede,,,,,"Sorrel, Hester, called Hetty",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23428,https://georgeeliotarchive.org/items/show/23428,"Satchell, Mrs.",Character Name,"The bailiff's wife, whose cream and butter will not bear comparison with Mrs. Poyser's.",,Adam Bede,,,,,"Satchell, Mrs.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23387,https://georgeeliotarchive.org/items/show/23387,"Salt, Mrs. Jim",Character Name,"Sandy Jim's wife, always called ""Timothy's Bess"".",,Adam Bede,,,,,"Salt, Mrs. Jim",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23386,https://georgeeliotarchive.org/items/show/23386,"Salt, Jim, called ""Sandy Jim""",Character Name,A carpenter in Jonathan Burge's workshop.,,Adam Bede,,,,,"Salt, Jim, called ""Sandy Jim""",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23365,https://georgeeliotarchive.org/items/show/23365,"Ryde, Mr.",Character Name,"Mr. Irwine's successor as rector of Broxton, a great contrast to Mr. Irwine.",,Adam Bede,,,,,"Ryde, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23336,https://georgeeliotarchive.org/items/show/23336,"Roe, Mr.",Character Name,"The ""travelling preacher"" stationed at Treddleston, who criticized Mr. Irwine.",,Adam Bede,,,,,"Roe, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23300,https://georgeeliotarchive.org/items/show/23300,"Rann, Joshua",Character Name,"Shoemaker and parish clerk in Hayslope--""a man in rusty spectacles, with stubbly hair, a large occuput, and a prominent crown."" ""Where that good shoemaker got his notion of reading from, remained a mystery even to his most intimate acquaintances. I believe, after all, he got it chiefly from Nature, who had poured some of her music into this honest conceited soul, as she had been known to do into other narrow souls before his. She had given him, at least, a fine bass voice and a musical ear; but I cannot positively say whether these alone had sufficed to inspire him with the rich chant in which he delivered the responses. The way he rolled from a rich deep forte into a melancholy cadence, subsiding, at the end of the last word, into a sort of faint resonance, like the lingering vibrations of a fine violoncello, I can compare to nothing for its strong calm melancholy but the rush and cadence of the wind among the autumn boughs."" He is opposed to the "" Methodisses "" who will, he fears, get the upper hand in the parish if the Squire and rector are not more active against them, and is frequently at odds about the church service with Bartle Massey, the schoolmaster, who is his chief rival in the church choir.",,Adam Bede,,,,,"Rann, Joshua",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23239,https://georgeeliotarchive.org/items/show/23239,"Poyser, Totty (Charlotte)",Character Name,"Mr. and Mrs. Poyser's three-year-old daughter, the spoiled darling of the Hall Farm. ""A little sunny-haired girl between three and four, who, seated on a high chair at the end of the ironing - table, was arduously clutching the handle of a miniature iron with her tiny fat fist and ironing rags with an assiduity that required her to put her little red tongue out as far as anatomy would allow."" ",,Adam Bede,,,,,"Poyser, Totty (Charlotte)",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23238,https://georgeeliotarchive.org/items/show/23238,"Poyser, Tommy",Character Name,"Mr. and Mrs. Poyser's second son, a lad of seven years.",,Adam Bede,,,,,"Poyser, Tommy",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23237,https://georgeeliotarchive.org/items/show/23237,"Poyser, Mrs. Rachel",Character Name,"The sharp-tongued mistress of the Hall Farm; a shrewd, capable woman, with a gift for epigram and a flow of conversation which has many unexpected turns but no end. "" Do not suppose, however, that Mrs. Poyser was elderly or shrewish in her appearance; ahe was a good-looking woman, not more than eight-and-thirty, of fair complexion and sandy hair, well-shapen, light-footed: the most conspicuous article in her attire was an ample checkered linen apron, which almost covered her skirt; and nothing could be plainer or less noticeable than her cap and gown, for there was no weakness of which she was less tolerant than feminine vanity, and the preference of ornament to utility. The family likeness between her and her niece Dinah Morris, with the contrast between her keenness and Dinah's seraphic gentleness of expression, might have served a painter as an excellent suggestion for a Martha and Mary. Their eyes were just of the same colour, but a striking test of the difference in their operation was seen in the
demeanour of Trip, the black--andtan terrier, whenever that muchsuspected dog unwarily exposed himself to the freezing arctic ray of Mrs. Poyser's glance. Her tongue was not lees keen than her eye, and, whenever a damsel came within earshot, seemed to take up an unfinished lecture, as a barrel-organ takes up a tune, precisely at the point where it had left off."" ""She has the spirit of three men, with that pale face of hers; and she says such sharp things, too."" ""Sharp I yes, her tongue is like a new-set razor. She's quite original in her talk, too; one of those untaught wits that help to stock a country with proverbs. I told you that capital thing I heard her say about Craig--that he was like a cock who thought the sun had risen to hear him crow. Now that's an Aesop's fable in a sentence."" She is a pattern dairywoman and housekeeper, with standards of excellence which none of her much-berated maids, even under the spur of her sharp tongue, ever succeeds in living up to. She keeps her eyes open for her neighbours' foibles and weaknesses, summing them up in keen, though homely, epigrams, and is strict with her husband's niece, Hetty Sorrel, whom she rightly suspects of selfishness and vanity. When the parsimonious Squire Donnithorne tries to impose upon her good-natured husband, Mrs. Poyser ""speaks her mind, to the Squire, routing him in a battle of words which delights the whole neighbourhood. In spite of her sharp tongue she is a kindly woman, much attached to her family and fond of her niece Dinah Morris, whose saintliness she appreciates though she does not approve of her Methodism and self-denial. For several of Mrs. Poyser's traits—her kindliness, shrewd common sense, and witty tongue —George Eliot's own mother, Mrs. Robert Evans (Christiana Pearson) was the original. Mr. John W. Cross, in George Eliot's Life, describes Mrs. Robert Evans as a ""woman with an unusual amount of force—a shrewd practical person, with a considerable dash of the Mrs. Poyser vein in her."" Cross, vol. 1, p. 13. The name Poyser was a real name in the neighbourhood of Ellastone (the ""Hayslope"" of Adam Bede), and an actual Mrs. Poyser, a farmer's wife, is said to have lived there at the time when George Eliot's father, Robert Evans, was still in Ellastone. A writer in Notes and Queries, whose father had been clerk to William Evans, George Eliot's uncle, states that a Mrs. Poyser was Mr. William Evans' housekeeper, which might explain the use of the name. (See Notes and Queries, Ser. vi, vol. 8, p. 351.)",,Adam Bede,,,,,"Poyser, Mrs. Rachel",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23236,https://georgeeliotarchive.org/items/show/23236,"Poyser, Old Martin",Character Name,"Martin Poyser's aged father who has retired from active life to a comfortable chair in the chimney-nook. ""Old Martin Poyser, a hale but shrunken and bleached image of his portly black-haired son—his head hanging forward a little, and his elbows pushed backwards so as to allow the whole of his forearm to rest on the arm of the chair. His blue handkerchief was spread over his knees, as was usual indoors, when it was not hanging over his head; and he sat watching what went forward with the quiet outward glance of healthy old age."" ""Like all old men whose life has been spent in labour, he liked to feel that he was still useful—that there was a better crop of onions in the garden because he was by at the sowing—and that the cows would be milked the better if he stayed at home on a Sunday afternoon to look on. He always went to church on Sacrament Sundays, but not very regularly at other times; on wet Sundays, or whenever he had a touch of rheumatism, he used to read the three first chapters of Genesis instead.""",,Adam Bede,,,,,"Poyser, Old Martin",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23235,https://georgeeliotarchive.org/items/show/23235,"Poyser, Marty",Character Name,"Mr. and Mrs. Poyser's elder son, aged nine. ""The 'little uns' addressed were Marty and Tommy, boys of nine and seven, in little fustian tailed coats and knee-breeches, relieved by rosy cheeks and black eyes; looking as much like their father as a very small elephant is like a very large one."" ",,Adam Bede,,,,,"Poyser, Marty",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23234,https://georgeeliotarchive.org/items/show/23234,"Poyser, Martin",Character Name,"Mrs. Poyser's husband and Hetty Sorrel's uncle; a substantial, jovial farmer, the tenant of Hall Farm, and the ""broadest man in the parish"". ""Aportly figure, with a ruddy black-eyed face, which bore in it the possibility of looking extremely acute, and occasionally contemptuous, on market-days, but had now a predominant aftersupper expression of hearty good nature ... he was of so excellent a disposition that he had been kinder and more respectful than ever to his old father since he had made a deed of gift of all his property, and no man judged his neighbours more charitably on all personal matters; but for a farmer, like Luke Britton, for example, whose fallows were not well cleaned, who didn't know the rudiments of hedging and ditching, and showed but a small share of judgment in the purchase of winter stock, Martin Poyser was as hard and implacable as the north-east wind."" ""Mr. Poyser was in his Sunday suit of drab, with a red-and-green waistcoat, and a green watchribbon having a large cornelian seal attached, pendant like a plumb-line from that promontory where his watch-pocket was situated; a silk handkerchief of a yellow tone round his neck; and excellent grey-ribbed stockings, knitted by Mrs. Poyser's own hand, setting off the proportions of his leg. Mr. Poyser had no reason to be ashamed of his leg, and suspected that the growing abuse of top-boots and other fashions tending to disguise the nether limbs, had their origin in a pitiable degeneracy of the human calf. Still less had he reason to be ashamed of his round, jolly face, which was good-humour itself."" He is proud of his wife's superior acuteness and cleverness, and of the unblemished record of his family which has ""held up its head and paid its way as far back as its name was in the parish register"". His easy good\ nature is a marked contrast to his wife's keen tongue and critical habit, but when his niece, Hetty Sorrel, brings disgrace on the family he is harder towards her than is his faultfinding wife.",,Adam Bede,,,,,"Poyser, Martin",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23210,https://georgeeliotarchive.org/items/show/23210,"Pomfret, Mrs.",Character Name,Lady's maid at Donnithorne Chase,,Adam Bede,,,,,"Pomfret, Mrs.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23171,https://georgeeliotarchive.org/items/show/23171,"Phillips, Sam",Character Name,A stone-sawyer who had learned to read at the age of twenty.,,Adam Bede,,,,,"Phillips, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23107,https://georgeeliotarchive.org/items/show/23107,"Ottley, Mr.",Character Name,Farmer iin whose house Molly has been at service before going to Mrs. Poyser.,,Adam Bede,,,,,"Ottley, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23087,https://georgeeliotarchive.org/items/show/23087,"Olding, John",Character Name,"A labourer at Tadd's Hold, near Stoniton, who finds the dead body of Hetty Sorrel's baby and gives evidence against Hetty at the trial.",,Adam Bede,,,,,"Olding, John",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23086,https://georgeeliotarchive.org/items/show/23086,"Old Woman, Snowfield",Character Name,The woman with whom Dinah Morris lodged.,,Adam Bede,,,,,"Old Woman, Snowfield",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23003,https://georgeeliotarchive.org/items/show/23003,"Morris, Dinah",Character Name,"Mrs. Poyser's niece, a beautiful and saintly young Methodist preacher whose one thought is to obey and imperative call to preach the gospel and to spend herself in the service of those who need her. ""She stood and turned her grey eyes on the people. There was no keenness in the eyes; they seemed rather to be shedding love than making observations; they had the liquid look which tells that the mind is full of what it has to give out, rather than impressed by external objects. She stood with her left hand towards the descending sun, and leafy boughs screened her from its rays; but in this sober light the delicate colouring of her face seemed to gather a calm vividness, like flowers at evening. It was a small oval face, of a uniform transparent whiteness, with an egg-like line of cheek and chin, a full but firm mouth, a delicate nostril, and a low perpendicular brow, burmounted by a rising arch of parting between smooth locks of pale reddish hair. The hair was drawn straight back behind the ears, and covered, except for an inch or two, above the brow, by a net Quaker cap. The eyebrows, of the same colour as the hair, were perfectly horizontal and firmly pencilled; the eyelashes, though no darker, were long and abundant; nothing was left blurred or unfinished. It was one of those faces that make one think of white flowers with light touches of colour on their pure petals. The eyes had no peculiar beauty, beyond that of expression; they looked so simple, so candid, so gravely loving, that no accusing scowl, no light sneer could help melting away before their glance."" She lives at Snowfield, where she works in a mill, but at the opening of the story she is visiting her aunt at Hayslope, where she preaches movingly on the village Green. Seth Bede has long been in love with her, but Adam Bede has never seen her until, at the time of his father's death, she comes to his cottage to help his grief-stricken mother. Her sense of religious duty causes her to try to lead vain little Hetty Sorrel to a higher life, and while she produces no religious impression on Hetty, she leaves with her a sense of love which makes the girl turn to her later in her despair. Dinah is away from home when Hetty is tried for murder and sentenced to death, but she hurries to Hetty's prison as soon as the news reaches her, and there prays and talks with the stricken girl until she touches her heart and induces her to make the confession which she had obstinately refused to make. She goes with Hetty to the place of execution, and is with her when the reprieve arrives at the last minute. When his grief about Hetty has been somewhat softened, Adam Bede discovers that he is in love with Dinah, and eventually she marries him. The original of Dinah
Morris was Elizabeth Evans, the wife of George Eliot's uncle, Samuel Evans, al though, as George Eliot herself says, the character is not an exact portrait. Mrs. Evans, whom George Eliot speaks of as ""my Methodist Aunt Samuel"", was an eloquent and well-known Wesleyan preacher, and some of her characteristics and experiences appear in Dinah Morris. One of Elizabeth Evans's striking experiences, when she induced an ignorant girl who had been convicted of child-murder to make a confession, and afterwards rode in the cart with her to the place of execution, gave George Eliot the idea for the climax of Adam Bede. Her connexion with Dinah Morris has been commemorated in the table erected to her memory in the Ebenezer Wesleyan Chapel in Wirksworth (""Snowfield"") which reads ""Elizabeth Evans, known to the world as Dinah Bede"". (See Cross, George Eliot's Life, vol. 2, pp. 65-7 ; for a detailed account of the life of Elizabeth Evans, see Mottram, True story of George Eliot in relation to Adam Bede.)",,Adam Bede,,,,,"Morris, Dinah",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22978,https://georgeeliotarchive.org/items/show/22978,"Mills, Mr.",Character Name,Squire Donnithorne's butler.,,Adam Bede,,,,,"Mills, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22925,https://georgeeliotarchive.org/items/show/22925,"Massey, Bartle",Character Name,"The caustic, keen-witted old schoolmaster of Hayslope, who is patient with backward pupils, but bitter towards all women. ""The face wore its mildest expression: the grizzled bushy eyebrows had taken their more acute angle of compassionate kindness, and the mouth, habitually compressed with a pout of the lower lip, was relaxed so as to be ready to speak a helpful word or syllable in a moment. This gentle expression was the more interesting because the schoolmaster's nose, an irregular aquiline twisted a little on one side, had rather a formidable character ; and ids brow, more over, had that peculiar tension which always impresses one as a sign of a keen impatient temperament : the blue veins stood out like cords under the transparent yellow skin, and this intimidating brow was softened by no tendency to baldness, for the grey bristly hair, cut down to about an inch in length, stood round it in as close ranks as ever."" He is a man of ability and education who has been made a crabbed woman-hater by some experience of his youth. He is at odds with Joshua Bann on the subject of church music, and often comments sharply on Hayslope doings and sayings. To Adam Bede, who had been a pupil in his night-school, Bartle Massey is a loyal friend, giving up all of his own interests to go to Stoniton to stay with Adam during Hetty Sorrel's trial. Bartle Massey is one of the real named used by George Eliot in Adam Bede. The master of the school which her father, Robert Evans (""Adam Bede "") attended near Roston, was named Bartle Massey, and, according to the account of him given by Mottram, had some of the characteristics of the Bartle Massey of the story. (See Mottram, True Story of George Eliot, pp. 15, 24; Parkinson, Scenes from the George Eliot Country, p. 96)",,Adam Bede,,,,,"Massey, Bartle",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22923,https://georgeeliotarchive.org/items/show/22923,"Maskery, Will",Character Name,"A wheelwright who used to be a wild drunken fellwo beofre he became a Methodist. The name Maskery is one of the real names which George Eliot took from the neighbourhood of Ellastone, where her father, Robert Evans (""Adam Bede"") lived as a young man. ""See Mottram, True Story of George Eliot. p. 15; Parkinson, Scenes from the George Eliot Country. p. 96.)",,Adam Bede,,,,,"Maskery, Will",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22922,https://georgeeliotarchive.org/items/show/22922,"Maskery, Mrs.",Character Name,"A Methodist, the wheelwright's plain-looking wife.",,Adam Bede,,,,,"Maskery, Mrs.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22905,https://georgeeliotarchive.org/items/show/22905,"Marlowe, Brother",Character Name,An aged Wesleyan preacher.,,Adam Bede,,,,,"Marlowe, Brother",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22664,https://georgeeliotarchive.org/items/show/22664,"Judith, Aunt",Character Name,Mrs. Poyser's favourite sister; Dinah Morris's Methodist aunt who had brought her up when she was left an orphan.,,Adam Bede,,,,,"Judith, Aunt",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22651,https://georgeeliotarchive.org/items/show/22651,"John, Old",Character Name,The Donnithorne's head groom.,,Adam Bede,,,,,"John, Old",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22630,https://georgeeliotarchive.org/items/show/22630,"James, Mr.",Character Name,The Doctor's assistant who married the Doctor's niece secretly.,,Adam Bede,,,,,"James, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22616,https://georgeeliotarchive.org/items/show/22616,"Irwine, Miss Kate",Character Name,"The Rector's plain, self-sacrificing sister, a thin, middle-aged woman.",,Adam Bede,,,,,"Irwine, Miss Kate",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22615,https://georgeeliotarchive.org/items/show/22615,"Irwine, Miss Anne",Character Name,"The Rector's half-invalid sister, to whom he is devoted. ""And Mr. Irwine's sisters, as any person of family within ten miles of Broxton could have testified, were such stupid un interesting women! It was quite a pity handsome, clever Mrs. Irwine should have had such commonplace daughters . . . But no one ever thought of mentioning the Miss Irwines, except the poor people in Broxton village, who regarded them as deep in the science of medicine, and spoke of them vaguely as 'the gentle folks'.""",,Adam Bede,,,,,"Irwine, Miss Anne",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
22614,https://georgeeliotarchive.org/items/show/22614,"Irwine, The Reverend Adolphus",Character Name,"""Rector of Broxton, Vicar of Hayslope, and Vicar of Blythe, a pluralist at whom the severest Church-reformer would have found it difficult to look sour."" ""His was one of those largehearted, sweet-blooded natures that never know a narrow or a grudging thought ; epicurean, if you will, with no enthusiasm, no self-scourging sense of duty; but yet, as you have seen, of a sufficiently subtle moral fibre to have an unwearying tenderness for obscure and monotonous suffering ... He really had no very lofty aims, no theological enthusiasm . . . He had that charity which has sometimes been lacking to very illustrious virtue—he was tender to other men's failings, and unwilling to impute evil. He was one of those men, and they are not the commonest, of whom we can know the best only by following them away from the market-place, the platform, and the pulpit, entering with them into their own homes, hearing the voice with which they speak to the young and aged about their own hearth-stone, and witnessing their thoughtful care for the every day wants of every-day comcompanions, who take all their kindness as a matter of course, and not as a subject for panegyric."" "" 'Mrs. Poyser used to say . . . Mr. Irwine was like a good meal o' victual, you were the better for him without thinking on it, and Mr. Ryde was like a dose o' physic, he gripped you and worreted you, and after all he left you much the same.' ""He is very fond of Arthur Donnithorne, who has been his pupil, and he is a friend of Adam Bede also. He cautions Arthur not to turn Hetty Sorrel's pretty head, but from a too great delicacy of feeling does not encourage the confession which Arthur later tries to make to him. When Hetty Sorrel is arrested for child-murder, he is notified and has to break the news to Adam Bede and the Poysers. During the time of Hetty's trial he stands by Adam Bede, trying to help him in any possible way, and he is one of the witnesses in Hetty's behalf.",,Adam Bede,,,,,"Irwine, The Reverend Adolphus",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
