"Item Id","Item URI","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:Number of Attachments","Item Type Metadata:URL","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Journal Entry","Item Type Metadata:Footnotes","Item Type Metadata:Location","PDF Text:Text",tags,file,itemType,collection,public,featured
31012,https://georgeeliotarchive.org/items/show/31012,"Oldinport^^ Mr.","Character Name","The squire of Shepperton parish who helps Amos Barton when he is in need of money. The original of Mr. Oldinport was the Right Honourable Charle Newdigate Newdegate^^ Member of Parliament from Warwickshire 1843-84. (See Olcott^^ George Eliot^^ pp. 14^^ 24.)",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story)",,,,,"Oldinport^^ Mr.",,,Text,https://georgeeliotarchive.org/items/show/23088,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31011,https://georgeeliotarchive.org/items/show/31011,Rotherby,"Fictional Place","Rotherby^^Town near Shepperton and Milby. Original: Coventry.",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story^^ Janet's Repentance)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23349,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31010,https://georgeeliotarchive.org/items/show/31010,"Pilgrim^^ Mr.","Character Name","A prosperous doctor in Milby. ""Mr. Pilgrim^^ the doctor from the nearest market-town^^ who^^ though occasionally affecting aristocratic airs^^ and giving late dinners with enigmatic sidedishes and poisonous port^^ is never so comfortable as when he is relaxing his professional legs in one of those excellent farm-houses where the mice are sleek and the mistress sickly."" ""Pilgrim was tall^^ heavy^^ roughmannered^^ and spluttering . . . The doctor's estimate^^ even of a confiding patient^^ was apt to rise and fall with the entries in the day-book; and I have known Mr. Pilgrim discover the most unexpected virtues in a patient seized with a promising illness. . . . Doubtless this crescendo of benevolence was partly due to feelings not at all represented by the entries in the day-book; for in Mr. Pilgrim's heart^^ too^^ there was a latent store of tenderness and pity which flowed forth at the sight of suffering."" The original of Mr. Pilgrim was a well-known doctor^^ Mr. Bucknill. (Manuscript in formation; also Olcott^^ George Eliot^^ p. 14; Parkinson^^ Scenes^^ p. 57.)",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story^^ Janet's Repentance)",,,,,"Pilgrim^^ Mr.",,,Text,https://georgeeliotarchive.org/items/show/23188,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31009,https://georgeeliotarchive.org/items/show/31009,Shepperton,"Fictional Place","Shepperton^^Parish where the Bartons live^^ and where Mr. Gilfil was vicar^^ many years earlier. ""A flat ugly district this; depressing enough to look at even on the brightest days. The roads are black with coal dust^^ the brick houses dingy with smoke; and at that time-the time of handloom weavers-every other cottage had a loom at its window^^ where you might see a pale^^ sickly-looking man or woman preesing a narrow chest against a board^^ and doing a sort of tread-mill work with legs and arms. A troublesome district for a clergyman; at least to one . . . like Amos Barton."" The original of Shepperton is Chilvers Coton^^ a suburb of Nuneaton.",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story^^ Janet's Repentance^^ Adam Bede)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23452,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31008,https://georgeeliotarchive.org/items/show/31008,"Bond^^ Mrs.","Character Name","The churchwarden's wife^^ who takes charge of the Barton children during their mother's last illness.",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Janet's Repentance)",,,,,"Bond^^ Mrs.",,,Text,https://georgeeliotarchive.org/items/show/21864,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31007,https://georgeeliotarchive.org/items/show/31007,"Oxford (Real)","Real Place","Oxford (Real)^^The English university where Arthur Donnithorne in Adam Bede^^ Rex Gascoigne and Mr. Lush in Daniel Deronda^^ Philip Debarry in Felix Holt^^ Latimer's brother^^ Alfred^^ in the Lifted Veil^^ and Mr. Stelling in Mill on the Floss have been educated.",,"Multiple (The Lifted Veil^^ The Mill on the Floss^^ Felix Holt^^ the Radical^^ Daniel Deronda^^ Adam Bede)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23109,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31006,https://georgeeliotarchive.org/items/show/31006,"Prague (Real)","Real Place","Prague (Real)^^The European city^^ where^^ in Daniel Deronda^^ Mirah Cohen escapes from her father^^ Lapidoth. In the Lifted Veil^^ Latimer has a vision of this city in his first experience of clairvoyance; when he visits the city later he realizes the exactness of his vision. The ancient city of Prague^^ now the capital of Czechoslovakia^^ which at the time of Daniel Deronda belonged to Austria.",,"Multiple (The Lifted Veil^^ Daniel Deronda)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23240,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31005,https://georgeeliotarchive.org/items/show/31005,"Vienna (Real)","Real Place","Vienna (Real)^^In the Lifted Veil Vienna is one of the cities in which Latimer has an experience of clairvoyance. In Daniel Deronda it is one of the places where Mirah Cohen lived with her father^^ Lapidoth. The capital of Austria; at the time of Latimer's visit there the city had not yet assumed its modern aspect^^ and the city walls around the Innere Stadt were still standing.",,"Multiple (The Lifted Veil^^ Daniel Deronda^^ Middlemarch)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23715,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31004,https://georgeeliotarchive.org/items/show/31004,"Milan (Real)","Real Place","Milan (Real)^^The Italian city where Lady Cheverel aids the poor musician Signor Sarti^^ and later rescues his orphan daughter^^ the little Caterina.",,"Multiple (Romola^^Mr. Gilfil's Love Story)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22973,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31003,https://georgeeliotarchive.org/items/show/31003,"Mediterranean (Real)","Real Place","Mediterranean (Real)^^The Mediterranean is a definite part of the scene in two of the novels. In Daniel Deronda Gwendolen Harleth and her husband^^ Grandcourt^^ go yachting on the Mediteranean^^ and Grandcourt is drowned in it while sailing a small boat near Genoa^^ and Gwendolen is rescued from drowning when she leaps over board after him. In Romola^^ Romola de' Bardi^^ sick at heart after her god-father's execution^^ sets herself adrift in a small fishing boat^^ hoping that she may never return ; instead she is carried to the plague-stricken village^^ where^^ in helping the sufferers^^ she wins back some peace and strength for herself.",,"Multiple (Romola^^ Daniel Deronda)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22935,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31002,https://georgeeliotarchive.org/items/show/31002,"Naples (Real)","Real Place","Naples (Real)^^The Naples which figures in Daniel Deronda and Felix Holt is the city of Naples; that in Romola is the Kingdom of Naples^^ which in the fifteenth century was one of the five great powers of Italy. At the beginning of Romola its ruler was the ""Spanish-born old King Ferdinand""^^ who was succeeded 1494 by his son Alfonso.",,"Multiple (Romola^^ Daniel Deronda^^ Felix Holt^^ the Radical)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23028,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31001,https://georgeeliotarchive.org/items/show/31001,"""Gentleman's Magazine""",Item,"The Gentleman's Magazine^^ London^^ founded 1731.",,"Multiple (Middlemarch^^ Mr. Gilfil's Love Story)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22415,,"""Gentleman's Magazine""",,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31000,https://georgeeliotarchive.org/items/show/31000,"Huskisson (Hist.)","Historical Name","A statesman who is killed by the new railrod. William Huskisson (1770-1830)^^ who was killed at the opening of the Liverpool and Manchester Railroad^^ 15th September^^ 1830.",,"Multiple (Middlemarch^^ Felix Holt^^ the Radical)",,,,,"Huskisson (Hist.)",,,Text,https://georgeeliotarchive.org/items/show/22600,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30999,https://georgeeliotarchive.org/items/show/30999,Loamford,"Fictional Place","Loamford^^Town where Felix Holt is imprisoned and tried. In Middlemarch Loamford is a town in the vicinity of Middlemarch.",,"Multiple (Middlemarch^^ Felix Holt^^ the Radical^^ Adam Bede)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22796,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30998,https://georgeeliotarchive.org/items/show/30998,"Paris (Real)","Real Place","Paris (Real)^^In Middlemarch Paris is one of the places where Dr. Lydgate had studied medicine.",,"Multiple (Middlemarch^^ Daniel Deronda^^ The Sad Fortunes of the Reverend Amos Barton)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23128,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30997,https://georgeeliotarchive.org/items/show/30997,"Rome (Real)","Real Place","Rome (Real)^^In Middlemarch Rome is the city to which Mr. and Mrs. Casaubon go on their wedding journey. In Romola Tito Melema twice goes there on political errands^^ and it is the centre of the agitation against Savonarola^^ under the Pope's leadership. Under Alexander the Sixth (1492-1503)^^ who was Pope during the period of Romola^^ the will of the Pope was absolute in Rome^^ and the Papal states of which he was the head were one of the five great powers of Italy.",,"Multiple (Middlemarch^^ Daniel Deronda^^ Romola)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23339,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30996,https://georgeeliotarchive.org/items/show/30996,"London (Real)","Real Place","London (Real)^^London is the main scene in Daniel Deronda^^ through the residence there of the Cohens and the Meyricks^^ etc.^^ and it is mentioned^^ as a very minor scene^^ in several of the stories of provincial life. Various localities and buildings in London and its vicinity are mentioned in the different novels. All of these which have any part^^ however small^^ in the plots of the stories^^ are entered separately in their alphabetical places in the Dictionary^^ and the fuller in formation^^ including the historical notes^^ is given under these separate entries. The following list will show at a glance what localities in London and its immediate vicinity are mentioned.",,"Multiple (Middlemarch^^ Adam Bede^^ Daniel Deronda^^ The Sad Fortunes of the Reverend Amos Barton^^ Felix Holt^^ the Radical^^ Janet's Repentance^^ The Mill on the Floss)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22806,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30995,https://georgeeliotarchive.org/items/show/30995,"Liverpool (Real)","Real Place","Liverpool (Real)^^In Adam Bede Arthur Donnithorne lands at Liverpool on his return from Ireland; in Brother Jacob David Faux sails from Liverpool to seek his fortune in America.",,"Multiple (Middlemarch^^ Adam Bede^^ Brother Jacob^^ Janet's Repentance)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22794,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30994,https://georgeeliotarchive.org/items/show/30994,"Milby Vicarage","Fictional Place","Mibly Vicarage^^Scene of the Clerical Meeting^^ where Amos Barton's shortcomings are discussed. This is the Vicarage in Nuneaton^^ near the Church.",,"Multiple (Janet's Repentance^^ The Sad Fortunes of the Reverend Amos Barton)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22976,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30993,https://georgeeliotarchive.org/items/show/30993,"Landor^^ Mr. Benjamin","Character Name","Lawyer^^ the banker's son.",,"Multiple (Janet's Repentance^^ The Sad Fortunes of the Reverend Amos Barton)",,,,,"Landor^^ Mr. Benjamin",,,Text,https://georgeeliotarchive.org/items/show/22731,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30992,https://georgeeliotarchive.org/items/show/30992,Milby,"Fictional Place","Milby^^Market town; scene of the story of Janet's Repentance^^ and of some of the action in the other Scenes of Clerical Life. ""It was a dingy-looking town^^ with a strong smell of tanning up one street and a great shaking of hand-looms up another . . . To a superficial glance^^ Milby was nothing but dreary prose: a dingy town^^ surrounded by flat fields^^ lopped elms^^ and sprawling manufacturing villages^^ which crept on and on with their weaving-shops^^ till they threatened to graft themselves on the town."" The easily recognized original of Milby is the market and manufacturing town of Nuneaton^^ Warwickshire. The name was taken from an old corn-mill in Nuneaton^^ on the Anker^^ called Milby Mill. (See Dryden^^ Memorials of Old Warwickshire^^ p. 124 ; Parkinson^^ Scenes^^ pp. 12^^ 55-8.)",,"Multiple (Janet's Repentance^^ The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22974,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30991,https://georgeeliotarchive.org/items/show/30991,"Constantinople (Real)","Real Place","Constantinople (Real)^^In Felix Holt Harold Transome goes to Constantinople as an attache of the British Embassy; in Romola Constantinople is one of the places where Tito Melema had lived. Constantinople^^ the capital of the Eastern Empire^^ was captured by the Turks in 1453^^ and after that date many Greek scholars made their way from there to Italy.",,"Multiple (Felix Holt^^ the Radical^^ Romola)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22085,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30990,https://georgeeliotarchive.org/items/show/30990,"Davy^^ Sir Humphry (Hist.)","Historical Name","A chemist and poet with whom Mr. Brooke had once dined. Sir Humphry Davy (1778-1829) chemist and author.",,"Multiple (Felix Holt^^ the Radical^^ Middlemarch)",,,,,"Davy^^ Sir Humphry (Hist.)",,,Text,https://georgeeliotarchive.org/items/show/22168,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30989,https://georgeeliotarchive.org/items/show/30989,"Eton (Real)","Real Place","Eton (Real)^^The public school where Daniel Deronda was educated befroe he went to Cambridge. In Felix Holt^^ Harold Transome had been educated at Eton and in the Lifted Veil Latimer's elder brother had been at that school. Eton College^^ at Eton^^ near Windsor^^ founded in 1440 by Henry VI.",,"Multiple (Felix Holt^^ the Radical^^ Daniel Deronda^^ The Lifted Veil)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22265,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30988,https://georgeeliotarchive.org/items/show/30988,"Christ's Hospital (Real)","Real Place","Christ's Hospital (Real)^^School from which Hans Meyrick enters Cambridge as an exhibitioner. In Felix Holt^^ Mr. Jermyn ""had got his Latin there for nothing"". Christ's Hospital^^ the famous ""Blue Coat School"" founded by Edward VI^^ was in London at the period of Daniel Deronda. It has since been moved to the country.",,"Multiple (Daniel Deronda^^ Felix Holt^^ the Radical)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/22041,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30987,https://georgeeliotarchive.org/items/show/30987,"Southampton (Real)","Real Place","Southampton (Real)^^An English seaport on the Channel; a principal port for transatlantic steamers.",,"Multiple (Daniel Deronda^^ Felix Holt^^ the Radical)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23498,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30986,https://georgeeliotarchive.org/items/show/30986,"""Orpheus"" (Real)","Real Name","An opera by Gluck^^ in the title role of which Armgart scores her great success. ""Orpheus and Euridice^^"" or ""Orfeo ed Euridice""^^ by Christoph Wilibald Gluck^^ first performed 1762. The song ""Che faro senza Euridice""^^ which Caterina Sarti sings^^ in Mr. Gilfil's Love Story^^ is from this opera^^ and in the first edition of Mr. Gilfil^^ both ""Che faro"" and Caterina's other song^^  ""Ho perduto il bel sembiante"" were mentioned as being in the ""Orpheus"". In the revised edition^^ however^^ George Eliot omitted in chapter ii^^ the name of the opera and changed the text to read ""Sir Christopher's favourite airs^^ by Gluck and Paisiello"".",,"Multiple (Armgart^^ Mr. Gilfil's Love Story)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23101,,"""Orpheus"" (Real)",,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30985,https://georgeeliotarchive.org/items/show/30985,Bernardo,"Character Name","A rich Florentine; Lisa's father.",,"How Lisa Loved the King",,,,,Bernardo,,,Text,https://georgeeliotarchive.org/items/show/21821,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30984,https://georgeeliotarchive.org/items/show/30984,"Palermo (Real)","Real Place","Palermo (Real)^^Scene of the poem ""How Lisa loved the King."" —Palermo^^ the capital and largest city of Sicily^^ on the north coast of the island. At the time of Lisa Sicily was ruled by King Pedro III^^ of Aragon^^ and his queen^^ Constance (daughter of Manfred of Beneventum)^^ through whom Pedro had acquired his Sicilian rights.",,"How Lisa Loved the King",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23121,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30983,https://georgeeliotarchive.org/items/show/30983,Mico,"Character Name","Minuccio's poet friend.",,"How Lisa Loved the King",,,,,Mico,,,Text,https://georgeeliotarchive.org/items/show/22967,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30982,https://georgeeliotarchive.org/items/show/30982,Perdicone,"Character Name","Lisa's suitor^^ whom she marries later.",,"How Lisa Loved the King",,,,,Perdicone,,,Text,https://georgeeliotarchive.org/items/show/23166,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30981,https://georgeeliotarchive.org/items/show/30981,"Constance^^ Queen (Hist.)","Historical Name","King Pedro's gentle queen^^ who is touched by Lisa's story and takes her under her protection. Constance^^ daughter of Manfred of Beneventum^^ wife of Pedro III of Aragon; it was through her that Pedro acquired his rights over Sicily.",,"How Lisa Loved the King",,,,,"Constance^^ Queen (Hist.)",,,Text,https://georgeeliotarchive.org/items/show/22084,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30980,https://georgeeliotarchive.org/items/show/30980,"Pedro^^ King of Aragon (Hist.)","Historical Name","The gallant ruler of Sicily with whom young Lisa falls in love when she sees him at a tourna ment. When he learns from the minstrel Minuccio that the maiden is dying for love of him^^ he visits her and bids her live and he and his queen^^ Constance^^ take Lisa and her suitor^^ Perdicone^^ under their protection and advance their fortunes. Thereafter King Pedro wears Lisa's favour^^ and calls himself her faithful knight. George Eliot's poem tells the story of Lisa and King Pedro^^ without change of plot^^ from the tale in Boccaccio's Decamerone^^ tenth day^^ novel seven. The king in the story is Pedro III^^ King of Aragon^^ who acquired his claims in Sicily through his queen^^ Constance^^ daughter of Manfred of Beneventum^^ King of Sicily. Pedro became King of Aragon in 1276^^ King of Sicily in 1282^^ and died 1285.",,"How Lisa Loved the King",,,,,"Pedro^^ King of Aragon (Hist.)",,,Text,https://georgeeliotarchive.org/items/show/23149,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30979,https://georgeeliotarchive.org/items/show/30979,Lisa,"Character Name","A fair young girl of Palermo who falls deeply and innocently in love with King Pedro^^ when she sees him at a tournament. Wasting away with her hopeless love^^ and grieving over the thought of dying while the king is still ignorant of her feeling for him^^ she confides her story to Minuccio^^ the sweet singer^^ and bids him sing it to the king. Touched by Minuccio's song^^ the king visits Lisa and bids her live^^ and he and his Queen take Lisa and Perdicone^^ whom she marries happily^^ under their protection. Thereafter the King always calls himself Lisa's faithful knight. The poem ""How Lisa loved the King "" is a poetical version of one of Boccaccio's tales. The original story is given in the Decamerone^^ tenth day^^ novel seven.",,"How Lisa Loved the King",,,,,Lisa,,,Text,https://georgeeliotarchive.org/items/show/22790,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30978,https://georgeeliotarchive.org/items/show/30978,Minuccio,"Character Name","The great singer^^ who reveals to King Pedro^^ by means of his song^^ the touching story of gentle Lisa's love. "" . . . A singer of the most gentle fame^^ / A noble^^ kindly spirit^^ not elate / That he was famous^^ but that song was great.""",,"How Lisa Loved the King",,,,,Minuccio,,,Text,https://georgeeliotarchive.org/items/show/22981,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
30977,https://georgeeliotarchive.org/items/show/30977,Hieria,"Character Name","The hamadryad who never knew that she grew old.",,E.E.--L.F.,,,,,Hieria,,,Text,https://georgeeliotarchive.org/items/show/22557,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
